place_id,名稱,地址,評分,評論數,經度,緯度,行政區
ChIJbSA2TZ8XbjQRT3sk6y3kFZM,走廊倉廚 Zaolong 屏東貳號倉,900台灣屏東縣屏東市自由路548號,4.1,1714,120.4873118,22.6837131,行政區
ChIJ8xzm_SYbbjQRXPBH5wjUL3c,沐光,830台灣高雄市鳳山區文安街2號,4.8,298,120.3474873,22.6409673,行政區
ChIJIxTsRusDbjQRQNYikbZmcj4,湛露中餐廳,806台灣高雄市前鎮區新光路33號2樓,4.7,1035,120.303525,22.6112875,行政區
ChIJT1k5OlwFbjQRsThY2-hgfeI,Cho Restaurant・秋 法餐,807台灣高雄市三民區九如一路815號2樓,4.8,228,120.3204535,22.6395831,行政區
ChIJiawExX4FbjQR7JtZ-q7QRwE,就是 食販所,802台灣高雄市苓雅區林泉街18號,4.7,181,120.319439,22.623567,行政區
ChIJZQF4I-kFbjQR5vK9BN23WFg,好食 House,802台灣高雄市苓雅區民權一路55-2號號,5,13,120.3134384,22.6190588,行政區
ChIJ9WUSauMXbjQRizWru-V8hwY,阿漢私廚 (訂位版.請至少提前一天預約點餐)屏東美食 屏東私房菜 屏東餐廳推薦 勝利星村美食 屏東restaurant,900台灣屏東縣屏東市重慶路必勝巷4號,4.6,358,120.4831797,22.6779741,行政區
ChIJGxkloWoDbjQRmnibMrm9WrU,南洋食府銳記 Nanyang Restaurant Ruiji南洋美食餐廳,802台灣高雄市苓雅區四維二路118-1號,4.4,777,120.3161528,22.6215922,行政區
ChIJQzEGPtIbbjQR-Yi3glznqic,來呷飯川食堂 鳳山店,830台灣高雄市鳳山區文衡路493號,4.8,1880,120.346635,22.6415803,行政區
ChIJmzoyYv85bjQRZCQe_mBgRBQ,旁聽席（創意料理、外燴服務）,90141台灣屏東縣三地門鄉行政街9-2號,4.1,1064,120.654665,22.7153382,行政區
ChIJj6wr-9IFbjQR5LHkgkxIEq4,高雄清真潮州牛雜餐廳,802台灣高雄市苓雅區建軍路13號,4.2,1088,120.3421227,22.6282883,行政區
ChIJXVLQ5SUbbjQRq1S8m9KKhwc,39焗烤家族-鳳林店,831台灣高雄市大寮區鳳林三路440號,4.8,1443,120.3959145,22.6043213,行政區
ChIJeSN7YKkbbjQRe2G6Cz9LR60,阮的牛排,830台灣高雄市鳳山區澄清路125號,4.8,1340,120.3443634,22.631209,行政區
ChIJv32UIy4bbjQR01lRCWimVeU,桑卓主廚 無菜單料理 預約制 地中海料理 歐洲食材 起士蛋糕 高雄,830台灣高雄市鳳山區青年路二段216巷1號,4.5,376,120.3509703,22.6381877,行政區
ChIJhV8bcykbbjQRdQwrnPW7KiI,黃鵲食料研製所,830台灣高雄市鳳山區濱山街15巷1號,4.5,1283,120.3506861,22.6453082,行政區
ChIJN9li5dg7bjQRDiSk-XxqYx4,新合家歡,"No. 68號, No. 68號中正路一段三地門鄉屏東縣台灣 901",4.6,731,120.6508811,22.7124919,行政區
ChIJ56JJwMM7bjQRfYonnGQSN6I,AKAME,90241台灣屏東縣霧台鄉古茶柏安街17巷8號,4.7,853,120.6471795,22.7001315,行政區
ChIJVVVVVSUxbjQRa5ArdYYKQoA,魯魯灣餐廳/無菜單料理/預約制/原住民特色料理,902台灣屏東縣霧台鄉安街17巷13號好茶村古茶柏,4.1,288,120.6476314,22.6999318,行政區
ChIJfwqhriYFbjQRXFjlAkXhNpw,Le Cuisine,807台灣高雄市三民區建工路498號,4.7,128,120.326596,22.651122,行政區
ChIJb1K-elMbbjQRBk6mu6UuUyw,也是味商行,830台灣高雄市鳳山區凱旋路344巷7號,4.3,430,120.3445196,22.6169451,行政區
ChIJ55voOAAFbjQRFdkFfnZQNRU,尋找小餐館（7/28（一）19：45~21：45有包場，無開放現場用餐，請見諒🙇，加休7/17~22家旅，中午只開週日）,804台灣高雄市鼓山區河川街53號,4.9,173,120.2835358,22.6350518,行政區
