place_id,place_name,review_rating,review_text
ChIJu6PPNVuVbjQR-VylEAqmIz8,花淺蔥 Brunch Osteria,4,空間氛圍不錯，服務態度也不錯，至於餐點的部分就見仁見智。 餐點要另收一成服務費，價格有一定部分應是空間成本，口味表現不凸出，配料簡單。 特別提一下鐵鍋鬆餅，本來預期應該是介於美式鬆餅和泡芙間的口感，但這家口感卻是介於發糕和烘蛋之間，十分微妙，可能是配方作法不同？
ChIJu6PPNVuVbjQR-VylEAqmIz8,花淺蔥 Brunch Osteria,5,第一次來 會有人帶位跟介紹 義大利麵 真的滿符合我喜歡的口味 有蒜味 又有蛤蠣  沒有酒味 但有淡淡奶油味 不濃稠 唐揚雞 脆皮好吃 很軟嫩 氣泡飲很好看
ChIJu6PPNVuVbjQR-VylEAqmIz8,花淺蔥 Brunch Osteria,5,口味偏鹹價格稍高，愛重鹹的本人覺得義大利麵很夠味😍建議都配純茶類比較解渴！外帶回去的甜點吃起來還好，碰到吉友店員還在外帶盒上畫了三小隻超可愛❤️❤️❤️
ChIJu6PPNVuVbjQR-VylEAqmIz8,花淺蔥 Brunch Osteria,1,看到網路評價很高從外地而來，覺得吃了以後被這個食物嚇到，不知道為什麼評價高是買來的嗎！煙燻鮭魚義大利麵就尚可，但是雞肉那盤吃到的都是油煙味，松露薯條不是脆是硬，認真吃幾口要離開，店員看到桌上的食物可能覺得怎麼剩一堆，一直看，只是覺得這個價位因該可以改善一下食物的好吃
ChIJu6PPNVuVbjQR-VylEAqmIz8,花淺蔥 Brunch Osteria,4,小小可惜當天用餐時最最最想吃的 白酒蛤蠣義大利麵售完！！！ 所以點了第二個想吃的南瓜金沙培根義大利麵 但出乎意料之外的餐點有一點乾所以沒有吃完🥲 但冷氣夠涼、環境舒服、當天服務人員也很敬業的介紹給100分😙
ChIJn4g7S3nmZzQRQTirURI6aII,富美海鮮火鍋（羅東店）,5,「富美海鮮火鍋」！這裡最大的特色就是用料新鮮、海鮮澎湃，光是端上桌的拼盤就讓人驚呼連連。 桌上滿滿的蝦子、蛤蜊、魚片，每一口都能吃到大海的鮮甜。 除了海鮮，肉品選擇也很豐富，像是伊比利豬、安格斯牛，口感軟嫩多汁，涮一下就能入口。  店內環境寬敞舒適，裝潢帶點時尚質感，很適合家庭聚餐或朋友聚會。 我們這次點了海陸雙享的組合，加上火鍋料與甜點，整桌吃下來非常滿足。特別推薦他們的鍋底，清爽不膩又能提出海鮮的鮮味，最後再煮麵或粥，根本完美收尾。  價格雖然中上，但份量十足、食材品質不錯。 整體來說，富美不愧是羅東必訪的火鍋名店，海鮮控絕對不能錯過！
ChIJn4g7S3nmZzQRQTirURI6aII,富美海鮮火鍋（羅東店）,5,之前吃過幾次南方澳的富美海鮮，第一次吃他們家的火鍋品牌，點了精選綜合海陸套餐，海鮮份量超級澎湃，有魚有蝦有干貝蛤蜊透抽，吃得很滿足，而且肉片也不錯，另外是竟然還有一些些港點可以無限吃，每樣都很有水準，比得上港式餐廳的品質。 114.04.27
ChIJn4g7S3nmZzQRQTirURI6aII,富美海鮮火鍋（羅東店）,3,吃了好幾次 今天點了雙人海陸雙拼 看到新鮮現殺原本很開心 結果魚刺多到覺得負擔
ChIJn4g7S3nmZzQRQTirURI6aII,富美海鮮火鍋（羅東店）,4,主要特色是活體海鮮，特別是活蝦跟螃蟹，自助蔬菜種類多且新鮮，肉類表現普通。  建議點活體海鮮鍋，依喜好另外單點肉片。
ChIJn4g7S3nmZzQRQTirURI6aII,富美海鮮火鍋（羅東店）,5,宜蘭最澎湃最鮮的火鍋在這裡‪‪.ᐟ.ᐟ 而且還有五星級港點可以吃🤤 $380起即可享自助吧吃到飽 不管是小資族還是想吃好一點 這裡都能滿足各種選擇✨  一艘海鮮船直接開過來～ 新鮮活跳蝦、活鮑魚、北海道干貝 透抽、草蝦、魚片等等 一直很喜歡吃海鮮 尤其是螃蟹🦀 滿滿的紅蟳蟹膏真的太誘人 龍虎班也太好吃了吧🥹 肉質Ｑ彈細緻煮火鍋或是清蒸都很適合 店家也有提供可一半清蒸的服務👍  湯底也有多種選擇 除了招牌的石頭鍋之外 也很推薦麻辣牛奶鍋 想吃什麼菜自己到自助區夾 還有五星級的港點可以無限吃 叉燒包和蘿蔔糕還有芝麻包 都是必吃必點啊～😍  在宜蘭想吃火鍋又想吃海鮮 來富美絕對不會讓人失望ദ്ദി ˃ ᵕ ˂ ) - 更多好吃好玩Instagram🔍@00.loveeat
ChIJwVTpbHeVbjQR_2lmtzI7teA,福助商店 嘉義元祖はっしょう,4,餐點：五大人點了十道菜左右，都不錯吃，可惜菜與菜之間間隔太久，永遠桌上都只有1-2道，一直在等下一道菜，服務人員態度親切發現問題馬上解決  環境：可以  停車：旁邊有收費停車場  支付方式：現金  排隊：要預約
ChIJwVTpbHeVbjQR_2lmtzI7teA,福助商店 嘉義元祖はっしょう,5,餐點多樣又美味，份量剛好不油膩，環境乾淨舒適，服務親切，用餐體驗很滿意！
ChIJwVTpbHeVbjQR_2lmtzI7teA,福助商店 嘉義元祖はっしょう,5,外面的大招牌，可口可樂的元素復古風格很好看！ 餐點表現都不錯！店內佈置擺設充滿日式昭和風！ 用餐體驗下來，感覺得到這間店的用心經營👍 下次要再帶家人朋友來吃！
ChIJwVTpbHeVbjQR_2lmtzI7teA,福助商店 嘉義元祖はっしょう,4,食材口味都算中等，店內裝潢氣氛不錯。
ChIJwVTpbHeVbjQR_2lmtzI7teA,福助商店 嘉義元祖はっしょう,5,櫃檯服務人員很親切、也非常細心。 每到食物無雷點，價格親民實惠。
ChIJwZ-i4vM9aTQRmDmgq-aXE4k,這一鍋 台中朝富殿,5,走進這一鍋台中朝富殿，映入眼簾的是古色古香的宮廷風裝潢，紅燈籠、深色木質搭配半包廂座位，營造出典雅又具隱私的氛圍，非常適合家人或好友聚餐。湯底選擇豐富，其中麻辣鍋以青花椒、大紅袍熬製，香氣濃郁卻不嗆口，被稱為「可以喝的麻辣湯」；老火湯則溫潤順口，搭配食材更顯甘甜。  食材部分相當新鮮，肉片、海鮮品質穩定，麻辣鍋裡的鴨血與豆腐還能免費續加，讓人吃得盡興。除了主鍋，餐後還有冰沙、試管飲品與特色冰淇淋，巧妙平衡了重口味的鍋物，替整餐畫下清爽的句點。  服務人員態度親切，從帶位、加湯到整理桌面都十分細心，讓用餐體驗更加加分。雖然價位略高，但多人分攤更划算，整體而言，這裡兼具環境質感、湯底特色與貼心服務，是值得再訪的聚餐好選擇。
ChIJwZ-i4vM9aTQRmDmgq-aXE4k,這一鍋 台中朝富殿,4,這次吃的是麻辣鍋＋老火湯鴛鴦鍋。 麻辣鍋偏麻，辣度對我這種「只能吃胡椒」的人來說居然還可以接受，蠻意外的🤣🤣  老火湯比較清淡，跟麻辣鍋搭在一起很剛好～可以一邊煮肉，一邊煮菜跟海鮮，平衡一下味道。 剛入座時會先送上一杯荔枝紅茶，喝起來很像小時候喝過的荔枝果凍味道，。  這次有點「貴妃荔枝蝦球」，本來是被它的外觀吸引，結果實際吃起來滿普通的，不太推。它是用蝦漿做的，吃起來鬆鬆的，也沒什麼蝦肉的口感，跟我們印象中的蝦球差很多。  「神仙牛肉」很推！要點他！果然是他們家的招牌，肉質很嫩又有肉香，而且上桌方式很浮誇用乾冰噴煙，拍照效果滿分！但不得不說美國Choice等級的無骨牛小排，吃起來真的很好吃！  「牛筋」我也蠻推薦的，喜歡Q彈口感的會喜歡，煮久一點很入味，我們另外單點了一份鮭魚，兩個人吃起來份量算多，食材也很新鮮。  比較特別的是「千張豆腐紙」，還附上墨魚汁可以在上面畫畫或寫字，畫完放進鍋裡三秒就能吃，但老實說就是好玩而已，口感粗粗的，如果你平常喜歡吃響鈴卷，那這個可能會失望，完全不能比。  整體來說，店內氣氛不錯，食材新鮮，出餐速度也蠻快的。不過我是下午兩點多來的，人不多，所以店員服務都不錯，算是吃得蠻悠閒的一餐。
ChIJwZ-i4vM9aTQRmDmgq-aXE4k,這一鍋 台中朝富殿,3,麻辣湯頭普普 大骨湯好喝但煮到最後會有點鹹 肉建議下麻辣鍋 或沾醬 不然有點腥味 松阪雞好吃 鳳爪有先炸過 下辣鍋煮很好吃 蔬菜也蠻新鮮 龍眼蜜冰淇淋很讚 這次嘗試新品老火鍋 覺得口味可以再調整 （吃過很多重慶老火鍋 但你們家的只有辣口） 服務人員態度很好 十分感謝🙏
ChIJwZ-i4vM9aTQRmDmgq-aXE4k,這一鍋 台中朝富殿,5,再次光臨，因為餐點新鮮美味， 對於愛麻辣鍋的我們來說～ 鴨血 豆腐無限加料～就是爽！ 牛、豬肉片的油花都很棒， 但如果再厚一點會更美味 。
ChIJwZ-i4vM9aTQRmDmgq-aXE4k,這一鍋 台中朝富殿,5,開很多年生意還是很好的火鍋店，餐點內容跟品質都不錯，人均費用均攤之後，大概就是跟某知名連鎖單人鍋差不多（稍稍貴了一點而已），可是我覺得整體的用餐體驗是好的👍 會再來。 但是我覺得店家自行開發App有時候會卡，不是很好用。 建議店家日後可以像其他餐廳一樣，直接把會員綁在Line就好了，這樣會方便很多，而且新客加入會員的意願應該也會高很多。
